Type,Code,Area,All Residents,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
Scotland District,S12000021,North Ayrshire,115400,8800,7900,7300,7100,8200,10200,10800,10000,9300,9900,8000,6600,5100,6200,0
England and Wales District,E07000043,North Devon,77462,5575,4821,4565,4641,5122,6429,6886,6429,6051,7239,6155,4782,3867,2989,1911
England and Wales District,E07000050,North Dorset,56400,4509,3402,3197,3387,4037,4685,4993,4627,4379,5146,4238,3471,2745,2195,1389
England and Wales District,E07000038,North East Derbyshire,83087,5956,5020,4764,4730,5907,7425,7628,7230,6712,7655,6567,5112,3893,2814,1674
England and Wales District,E06000012,North East Lincolnshire,130109,10271,10521,9987,8703,9769,11330,11973,10683,9621,10236,7815,6918,5712,4101,2469
England and Wales District,E07000099,North Hertfordshire,102855,7370,6126,7582,8262,9359,9896,10189,8530,7234,7758,5950,4883,4381,3120,2215
England and Wales District,E07000139,North Kesteven,89185,6299,5068,5341,5346,6610,8486,8692,7343,6540,7891,6849,5559,4213,3090,1858
Scotland District,S12000044,North Lanarkshire,277400,21400,21000,21800,21500,23200,26800,26900,23600,20500,20200,15700,13300,10100,11400,0
England and Wales District,E06000013,North Lincolnshire,137015,10155,9522,9969,9114,10180,12373,12862,11649,10922,11452,9017,7246,5771,4241,2542
England and Wales District,E07000147,North Norfolk,86578,5354,4542,4279,3863,4645,6088,6773,6867,7221,9239,8211,6609,5794,4411,2682
England and Wales District,E06000024,North Somerset,165966,11326,9491,10363,10691,12598,14997,15404,13428,12725,14654,12468,9603,7921,6122,4175
England and Wales District,E08000022,North Tyneside,165938,11459,10908,12411,13326,13505,14813,15766,14180,12773,13059,9704,8392,7124,5363,3155
England and Wales District,E07000218,North Warwickshire,51378,3658,3219,3281,3164,4044,4864,5006,4496,4177,4496,3718,2788,2064,1490,913
England and Wales District,E07000134,North West Leicestershire,76254,5411,4739,4939,5124,6488,7569,7529,6358,5940,6599,5201,3796,2934,2209,1418
England and Wales District,E07000154,Northampton,170136,13293,15345,16950,16250,15724,15096,15299,12662,11083,11605,8344,6497,5278,4057,2653
Country,N92000002,Northern Ireland,1445929,126241,126013,124099,119839,122260,131848,131645,116933,99272,94290,82121,63479,50358,36366,21165
England and Wales District,E06000048,Northumberland,263316,18464,16224,16187,16121,17907,22128,24842,24121,22172,24533,19062,15304,12249,8769,5233
England and Wales District,E07000148,Norwich,110854,8838,15289,12794,10521,8987,8592,7820,6878,6430,6517,5043,4199,3684,3128,2134
England and Wales District,E06000018,Nottingham,251806,27059,42766,26232,22433,19441,19645,18502,15772,13404,12626,9313,8207,7181,5696,3529
England and Wales District,E07000219,Nuneaton and Bedworth,102114,7891,7453,7971,7777,8294,9336,9459,8179,7586,8028,6707,5061,3918,2843,1611
England and Wales District,E07000135,Oadby and Wigston,46599,5006,3463,3023,2964,3159,3907,4310,3746,3218,3432,2803,2522,2293,1734,1019
England and Wales District,E08000004,Oldham,176199,15056,14586,15177,14020,14431,16494,15699,14128,12228,12875,10027,8253,6068,4397,2760
Scotland District,S12000023,Orkney Islands,17800,1300,1100,1000,1100,1200,1600,1700,1600,1500,1600,1300,1100,700,1000,0
England and Wales District,E07000178,Oxford,127180,12912,22554,17096,12863,9623,8854,8494,7027,6148,5924,4583,3769,3066,2525,1742
England and Wales District,W06000009,Pembrokeshire,100737,7481,6710,5860,5770,6379,8046,9065,8197,8188,9525,7910,6470,5174,3673,2289
England and Wales District,E07000122,Pendle,71658,5485,5722,6301,5722,5557,6146,5979,5747,5283,5976,4307,3355,2670,2116,1292
Scotland District,S12000024,Perth and Kinross,123500,8700,7500,8100,7600,8400,10700,11700,10600,10000,10600,8500,7200,5800,8100,0
England and Wales District,E06000031,Peterborough,145864,11498,12502,15046,14112,12914,13289,12677,11014,9642,9382,6909,5792,5026,3803,2258
England and Wales District,E06000026,Plymouth,212477,17804,24343,18888,15402,15537,17723,17582,16367,13955,15140,12156,9843,8120,5978,3639
England and Wales District,E06000029,Poole,121936,8620,8180,8712,8835,9331,10689,11078,9486,8771,9828,8011,6552,5808,4868,3167
England and Wales District,E06000044,Portsmouth,168001,15956,22761,16991,13860,13384,14280,13848,11926,9312,9820,7655,6206,5210,4000,2792
England and Wales District,W06000023,Powys,110404,7967,6465,5877,5843,6975,9000,9971,9221,9378,10864,9087,7145,5715,4211,2685
England and Wales District,E07000123,Preston,114200,10449,14062,10750,9322,9048,9746,9730,8396,7168,7084,5303,4606,3925,2863,1748
England and Wales District,E07000051,Purbeck,37723,2534,2165,1998,1991,2370,3024,3285,3197,2983,3723,3231,2417,2146,1621,1038
England and Wales District,E06000038,Reading,126299,9809,14574,15113,15244,12158,11104,9910,8269,6851,6373,4902,4156,3396,2736,1704
England and Wales District,E09000026,Redbridge,218011,17937,18894,23814,23935,20642,19654,18561,16456,13945,12578,9165,7652,6449,5104,3225
England and Wales District,E06000003,Redcar and Cleveland,111743,8835,8092,7628,6987,7654,9479,10398,9429,8458,9511,7776,6642,5017,3704,2133
England and Wales District,E07000236,Redditch,68205,5076,5175,5995,6022,5904,6042,5901,5470,5618,5616,4052,2699,2046,1603,986
England and Wales District,E07000211,Reigate and Banstead,110949,7676,6965,8147,9676,10118,10703,10946,9110,7833,8466,6263,4918,4282,3419,2427
Scotland District,S12000038,Renfrewshire,146300,10800,11000,10700,10100,10900,13700,14400,13200,11000,11000,8700,7500,5900,7400,0
England and Wales District,E07000124,Ribble Valley,46829,3558,2685,2414,2361,3356,4456,4750,4223,3758,4251,3497,2767,2216,1572,965
England and Wales District,E09000027,Richmond upon Thames,150482,9085,9145,12546,16026,17433,15937,14536,11805,10067,10142,7406,5617,4525,3709,2503
England and Wales District,E07000166,Richmondshire,42909,3529,4252,3467,2751,2964,3654,3667,3329,3064,3543,2797,2233,1730,1212,717
England and Wales District,E08000005,Rochdale,168697,14425,14005,14111,13367,13846,15701,15071,13710,12366,12454,9161,7481,5911,4456,2632
England and Wales District,E07000075,Rochford,68723,5130,4138,3729,4199,5298,6576,6510,5736,5308,6106,4852,3981,3332,2393,1435
England and Wales District,E07000125,Rossendale,55261,4309,3869,3940,4029,4565,5361,5271,4733,4359,4721,3364,2441,1932,1453,914
England and Wales District,E07000064,Rother,75586,5038,3632,3377,3184,4110,5732,6545,6014,6017,7962,6696,5569,4839,4035,2836
England and Wales District,E08000018,Rotherham,209418,16217,15227,15422,14333,16099,19442,19390,17934,15663,16664,13686,11097,8537,6023,3684
England and Wales District,E07000220,Rugby,81180,6174,5182,6322,6319,6932,7636,7812,6602,5634,6062,5401,4003,3064,2492,1545
England and Wales District,E07000212,Runnymede,66786,5461,6967,4512,5137,5789,5832,6021,5277,4412,4617,3664,2944,2757,2046,1350
England and Wales District,E07000176,Rushcliffe,90984,6610,6174,5320,6165,7367,8646,8947,7785,7035,7411,6006,4621,3949,3017,1931
England and Wales District,E07000092,Rushmoor,75491,6016,6682,7282,7494,7610,7475,7201,5665,4572,4611,3476,2766,2043,1583,1015
England and Wales District,E06000017,Rutland,30931,2895,1740,1907,1855,2145,2686,2642,2517,2362,2715,2331,1887,1436,1094,719
England and Wales District,E07000167,Ryedale,43331,3187,2203,2085,2130,2687,3666,4025,3741,3742,4351,3604,2829,2338,1743,1000
England and Wales District,E08000006,Salford,190191,15103,19537,20989,17158,15407,16236,16106,14035,11563,12358,9498,8045,6410,4734,3012
England and Wales District,E08000028,Sandwell,243778,20220,20793,23085,21235,21168,22411,21398,17991,15495,15230,13139,11381,9186,6950,4096
